S/N	pos	Crack_Pressure_Cycle1	Crack_Pressure_Cycle2	Crack_Pressure_Cycle3	Crack_Pressure_Cycle4	Crack_Pressure_Cycle5	Crack_Pressure_Cycle6	Crack_Pressure_Cycle7	Crack_Pressure_Average	Reseat_Pressure_Cycle1	Reseat_Pressure_Cycle2	Reseat_Pressure_Cycle3	Reseat_Pressure_Cycle4	Reseat_Pressure_Cycle5	Reseat_Pressure_Cycle6	Reseat_Pressure_Cycle7	Reseat_Pressure_Average	Flow	Flow_Pressure	Error
12.12.2023	c/222538_LS1230791_2.csv	Hieke	222538	1230791	2
331269	1	1.947715	1.98707	2.065781	1.926523	1.968906	1.959824	2.002207	1.985052	1.894512	1.91873	1.891484	1.900566	1.912676	1.912676	1.912676	1.908135	8.185897	2.754277	
331270	2	2.047617	2.029453	2.03248	2.008262	1.981016	2.002207	1.99918	2.008766	1.861211	1.849102	1.843047	1.846074	1.852129	1.849102	1.836992	1.846074	8.241452	2.832988	
331271	3	1.965879	2.017344	1.971933	1.996152	1.98707	1.956796	1.968906	1.983034	1.93084	1.927813	1.93084	1.924785	1.91873	1.921758	1.91873	1.923776	8.09936	2.630156	
331272	4	2.029453	1.950742	1.959824	2.096054	1.965879	1.938633	1.947715	1.976474	1.933867	1.927813	1.93084	1.924785	1.93084	1.927813	1.927813	1.928317	8.1047	2.5575	
331273	5	2.03248	2.029453	2.026426	2.03248	2.026426	2.026426	2.029453	2.028444	1.927813	1.924785	1.924785	1.912676	1.912676	1.906621	1.909648	1.915199	8.070512	2.702812	
331274	6	2.026426	2.026426	1.920469	1.94166	1.935605	1.938633	1.947715	1.951751	1.897539	1.891484	1.931484	1.894512	1.888457	1.891484	1.888457	1.89098	8.076924	2.605938	
331275	7	1.984043	1.950742	1.959824	1.92955	1.984043	1.984043	1.926523	1.955788	1.894512	1.897539	1.903594	1.897539	1.900566	1.894512	1.903594	1.899557	8.076922	2.551445	
331276	8	2.029453	2.020371	2.023398	2.038535	2.053672	2.086973	1.950742	2.028948	1.93084	1.885429	1.882402	1.879375	1.882402	1.882402	1.891484	1.883916	8.083335	2.542363		
